c,F,V,E,H,SepMILP,SepGA,SepVNS,StatusQuo,IntMILP,IntGAMILP,IntVNSMILP,IntGANN,IntVNSNN,IntRBNN
low,low,low,low,low,223.93923923762773,136.778806201756,146.8083966045041,134.75843217082493,0.0,10.606327885689625,91.0062985685821,18.34965061303084,86.23209118779369,5.127324501869734
low,low,low,low,high,145.46774919342772,87.38185102845509,92.85387350745233,85.81948885745975,0.33197555839130066,5.413567195194947,75.3087281143405,0.0,61.1065901777926,18.899991087853856
low,low,low,medium,low,275.0388821598415,160.62088117854478,172.08374348059,155.5315644720464,0.0,2.677211025865586,95.86915422925415,5.520734741474449,92.48762686496201,1.076798420041474
low,low,low,medium,high,204.10793312344668,123.56161182648164,128.12869531127697,118.32705824398737,10.362521256559363,4.1335782676979935,87.15318977719029,0.0,91.03456310055228,6.804311400648512
low,low,low,high,low,542.0496520989504,307.07723224902713,330.5969088427489,297.53333736702734,0.0,7.908589800762288,165.10308191667042,15.83854550011607,175.47130660601775,9.74675943659263
low,low,low,high,high,391.16820954450486,214.63486365175436,234.04969890331984,211.75672562557483,0.0,13.51174044291591,120.85418568020101,3.1721732571752717,139.2287567087109,29.59174817320332
low,low,high,low,low,88.62986531035014,50.84449536673842,59.043245385219855,52.03595157663744,0.0,5.759464569633657,33.24649088743082,6.928216752625755,37.02697520509926,5.033098369931601
low,low,high,low,high,54.936955176479316,37.21606139680853,41.415706906952735,38.75215870211118,9.181642400111771,0.0,25.876471186070354,1.0911010781105626,28.78242724248694,14.235524500210756
low,low,high,medium,low,132.69927970383694,90.369071872494,103.35739980213097,90.70073191466282,0.6893132595366324,0.0,59.24792291087747,10.144044707972652,63.92539946990403,4.652505761066215
low,low,high,medium,high,91.50120934372487,64.63495908822617,69.03805460101505,64.80176663767388,11.1235562469777,0.0,54.88551022828776,17.573856070863116,52.74625145272989,7.700963834367984
low,low,high,high,low,281.9196873050742,157.3438752117872,178.57064580715917,156.53190796607345,0.0,3.668959799964543,82.17129303203885,13.472263500839324,81.60400297829594,5.848314755512899
low,low,high,high,high,240.21904549781223,135.9536730514338,154.62326683625608,139.22156575236292,16.992311895122718,0.0,78.30127975926456,25.380496954109166,105.74266671157882,30.769229769550893
low,high,low,low,low,101.70653101932558,74.63308426113376,83.36989003409082,74.25428274886745,0.0,26.64247259120163,57.350820292832495,11.438175817343705,44.48610901953578,13.621909760712697
low,high,low,low,high,52.88359288933179,35.13549100926543,36.776674009293814,35.52093292296849,0.0,3.579710076595541,17.91885326170907,8.779450862800637,21.49404017534767,17.793734249128416
low,high,low,medium,low,142.00352795996744,99.86722772819114,110.18585368429912,100.6204664688922,2.6032841194982863,4.996081073035841,56.3938898271253,7.373710020007837,48.81727669373983,0.0
low,high,low,medium,high,118.09253846314314,82.73341834167796,89.9046714776177,79.64855929940884,11.09373057714039,0.0,46.06179760658284,28.140521887112907,59.54127818156748,23.353340883570453
low,high,low,high,low,256.6969225146663,168.61125611768358,181.70084710824145,166.09138334451345,6.093426691078895,15.122225754756311,96.93530572666337,0.0,89.84707307789236,1.3877010996512884
low,high,low,high,high,201.0695576739601,112.10675369449051,123.6587481268698,106.66023189091705,7.090584882272631,0.0,53.488521067271265,2.871899276912487,63.88169188571825,15.24640480846034
low,high,high,low,low,59.09338182895293,39.942748915226545,44.78269142118589,39.88303711508958,0.0,23.400652617414046,38.337126516870335,33.69965697544846,34.851373988355725,13.399734981448713
